transec_source_fire_namestr,transect_source_fire_ID,transect_start_time (UTC s from midnight),transect_end_time  (UTC s from midnight),transect_source_fire_type,transect_type,"transect_altitude (MSL, m)",transect_MCE,transect_BG_CO (ppb),transect_BG_CO2(ppm),transect_emis_time  (UTC s from midnight),transect_fuel,transect_ignition,transect_julian_date,transect_number,transect_plume_number,transect_source_fire_alt,transect_source_fire_lat,transect_source_fire_long,transect_s_distance (m),transect_windspeed (m/s),transect_smoke_age (s),transect_structures_boolean,transect_suppresion_boolean,transect_MCE_ODR,transect_mce_odr_chisq
Shady,1,83348,83437.3429999999,1,1,5142.18888888888,0.78866688874743,70.1641666666666,409.797083333333,77869.611328125,1,0,206,7,3,2185.4,44.5401,-115.0205,59938.5245884199,10.8537317957004,5522.3887,0,0,0.930958774256832,0.604330780934677
Shady,1,83988.344,84007.334,1,1,5144.75,0.887977843917674,71.4608333333333,409.616666666666,75456.1015625,1,0,206,8,3,2185.4,44.5401,-115.0205,92827.9164469762,10.8686354338469,8540.8984,0,0,0.903528392334114,0.0028622854485982
Shady,1,85606.335,85647.336,1,1,4821.40476190476,0.896900236098113,69.4883333333333,410.160833333333,84739.2666015625,1,0,206,9,3,2185.4,44.5401,-115.0205,7969.09287162824,8.98702225273767,886.7334,0,0,0.897582028470538,1.52035357381437
Shady,1,85829.341,85877.342,1,1,4821.38775510204,0.894310835293336,72.6841666666666,409.9725,83945.2322998046,1,0,206,10,3,2185.4,44.5401,-115.0205,17144.9621190289,8.98692328661602,1907.7677,0,0,0.898562397801043,3.9540540914439
Shady,1,85894.342,85917.342,1,1,4823.66666666666,0.884999951219936,69.1758333333333,409.9775,84104.1424560546,1,0,206,11,3,2185.4,44.5401,-115.0205,16208.0501697497,9.00018474691722,1800.8575,0,0,0.885363506868457,0.205021741590543
Shady,1,86102.336,86194.337,1,1,4660.04301075268,0.881455683401946,69.7816666666666,410.17,83438.0715332031,1,0,206,12,3,2185.4,44.5401,-115.0205,21809.570368097,8.04802466711316,2709.9285,0,0,0.887517391180382,6.22990946242526
Shady,1,86204,86219,1,1,4665.6875,0.875976741704162,71.3224999999999,410.383333333333,83690.5017089843,1,0,206,13,3,2185.4,44.5401,-115.0205,20367.8220669625,8.0808711238321,2520.4983,0,0,0.876295895538443,0.137931224271066
Shady,1,86647.339,86705.339,1,1,4941.67796610169,0.894263011763027,68.5841666666666,410.0775,84459.9768066406,1,0,206,14,3,2185.4,44.5401,-115.0205,21466.4317717812,9.68691703914098,2216.0232,0,0,0.895662671943258,1.3993864817255
Shady,1,87090.339,87120.339,1,1,5122.32258064516,0.893529029655667,70.9541666666666,410.045833333333,85071.2615966796,1,0,206,15,3,2185.4,44.5401,-115.0205,21838.5387362263,10.7381256167705,2033.7384,0,0,0.894571351202271,0.15846520187505
Shady,1,87309.339,87448,1,1,4796.32142857142,0.888529926672695,72.2766666666666,410.705833333333,83896.6584472656,1,0,206,16,3,2185.4,44.5401,-115.0205,30778.739539697,8.84105711991498,3481.3416,0,0,0.889744011149908,3.53561947060362
